dataset,seed,policy,budget,accuracy,cross_entropy,context_first_rate,relevant_feature_rate,n_train,n_val,n_test,n_features,n_classes,noise_std
cube_nm_final,5,random,8,0.75975,0.4910024116516113,0.08269999995827675,0.41801875000000005,6000,2000,2000,12,2,0.25
cube_nm_final,5,global_mi,8,0.743,0.5184622955322266,0.0,0.563375,6000,2000,2000,12,2,0.25
cube_nm_final,5,myopic_q,8,0.8845,0.28796397399902346,0.0,0.516375,6000,2000,2000,12,2,0.25
cube_nm_final,5,learned_briga,8,0.898,0.2713252334594727,0.0,0.495125,6000,2000,2000,12,2,0.25
cube_nm_final,5,context_first,8,0.9525,0.20747837448120118,1.0,0.62475,6000,2000,2000,12,2,0.25
cube_nm_final,5,regime_oracle,8,0.9525,0.20707821655273437,0.0,0.625,6000,2000,2000,12,2,0.25
cube_nm_final,7,empty_mask,0,0.5055,0.6931010437011719,0.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,7,full_features,12,0.926,0.22232957077026366,1.0,0.4166666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,7,random,1,0.5466,0.6825372955322264,0.08095000013709068,0.4173,6000,2000,2000,12,2,0.25
cube_nm_final,7,global_mi,1,0.6005,0.6661343688964844,0.0,0.497,6000,2000,2000,12,2,0.25
cube_nm_final,7,myopic_q,1,0.6135,0.6597528991699219,0.0,0.503,6000,2000,2000,12,2,0.25
cube_nm_final,7,learned_briga,1,0.6135,0.6597528991699219,0.0,0.503,6000,2000,2000,12,2,0.25
cube_nm_final,7,context_first,1,0.5055,0.6956861114501953,1.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,7,regime_oracle,1,0.723,0.5836755676269532,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,7,random,2,0.5908,0.6642292648315429,0.08430000022053719,0.418875,6000,2000,2000,12,2,0.25
cube_nm_final,7,global_mi,2,0.652,0.6245596466064454,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,7,myopic_q,2,0.643,0.6369754791259765,0.0,0.71225,6000,2000,2000,12,2,0.25
cube_nm_final,7,learned_briga,2,0.7365,0.5362409057617188,1.0,0.4935,6000,2000,2000,12,2,0.25
cube_nm_final,7,context_first,2,0.738,0.5355998840332031,1.0,0.498,6000,2000,2000,12,2,0.25
cube_nm_final,7,regime_oracle,2,0.804,0.49540162658691406,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,7,random,3,0.6205999999999999,0.645487811279297,0.08279999941587449,0.4166833333333334,6000,2000,2000,12,2,0.25
cube_nm_final,7,global_mi,3,0.646,0.6168927001953125,0.0,0.501,6000,2000,2000,12,2,0.25
cube_nm_final,7,myopic_q,3,0.6725,0.6072174377441406,0.0,0.6385,6000,2000,2000,12,2,0.25
cube_nm_final,7,learned_briga,3,0.736,0.5079508209228516,0.0,0.5261666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,7,context_first,3,0.8175,0.397621337890625,1.0,0.664,6000,2000,2000,12,2,0.25
cube_nm_final,7,regime_oracle,3,0.855,0.4433342971801758,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,7,random,5,0.67635,0.5960720764160156,0.0831999994814396,0.41730999999999996,6000,2000,2000,12,2,0.25
cube_nm_final,7,global_mi,5,0.6745,0.5915350036621094,0.0,0.4,6000,2000,2000,12,2,0.25
cube_nm_final,7,myopic_q,5,0.7295,0.5365813446044921,0.0,0.522,6000,2000,2000,12,2,0.25
cube_nm_final,7,learned_briga,5,0.7935,0.43557814025878905,1.0,0.4665,6000,2000,2000,12,2,0.25
cube_nm_final,7,context_first,5,0.9065,0.2513450622558594,1.0,0.7976,6000,2000,2000,12,2,0.25
cube_nm_final,7,regime_oracle,5,0.8945,0.3557636413574219,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,7,random,8,0.76445,0.4794167243957519,0.08425000011920929,0.41514999999999996,6000,2000,2000,12,2,0.25
cube_nm_final,7,global_mi,8,0.735,0.5160216979980469,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,7,myopic_q,8,0.8465,0.345550048828125,0.0,0.472125,6000,2000,2000,12,2,0.25
cube_nm_final,7,learned_briga,8,0.872,0.30239128875732424,0.0,0.4660625,6000,2000,2000,12,2,0.25
cube_nm_final,7,context_first,8,0.9245,0.22674164962768556,1.0,0.6245,6000,2000,2000,12,2,0.25
cube_nm_final,7,regime_oracle,8,0.925,0.2275387268066406,0.0,0.625,6000,2000,2000,12,2,0.25
cube_nm_final,9,empty_mask,0,0.5045,0.693133529663086,0.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,9,full_features,12,0.934,0.22050950622558593,1.0,0.4166666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,9,random,1,0.5588,0.6808188079833984,0.08135000020265579,0.4203,6000,2000,2000,12,2,0.25
cube_nm_final,9,global_mi,1,0.6135,0.6546506652832031,0.0,0.5025,6000,2000,2000,12,2,0.25
cube_nm_final,9,myopic_q,1,0.6135,0.6546506652832031,0.0,0.5025,6000,2000,2000,12,2,0.25
cube_nm_final,9,learned_briga,1,0.6135,0.6546506652832031,0.0,0.5025,6000,2000,2000,12,2,0.25
cube_nm_final,9,context_first,1,0.492,0.700156265258789,1.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,9,regime_oracle,1,0.7195,0.5816415557861329,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,9,random,2,0.5913999999999999,0.6659754165649414,0.08589999973773957,0.4136,6000,2000,2000,12,2,0.25
cube_nm_final,9,global_mi,2,0.6465,0.6259167938232422,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,9,myopic_q,2,0.648,0.6174254608154297,0.0,0.455,6000,2000,2000,12,2,0.25
cube_nm_final,9,learned_briga,2,0.655,0.6181788177490234,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,9,context_first,2,0.729,0.549403434753418,1.0,0.49975,6000,2000,2000,12,2,0.25
cube_nm_final,9,regime_oracle,2,0.818,0.49702552795410154,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,9,random,3,0.6193500000000001,0.6482392059326172,0.08495000004768372,0.4160666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,9,global_mi,3,0.6475,0.6290569610595703,0.0,0.3333333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,9,myopic_q,3,0.6895,0.5815698547363282,0.0,0.4761666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,9,learned_briga,3,0.7005,0.5698795471191406,1.0,0.36716666666666664,6000,2000,2000,12,2,0.25
cube_nm_final,9,context_first,3,0.8145,0.3895649108886719,1.0,0.6663333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,9,regime_oracle,3,0.875,0.44162271118164065,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,9,random,5,0.6707000000000001,0.5952681304931641,0.08449999988079071,0.41883,6000,2000,2000,12,2,0.25
cube_nm_final,9,global_mi,5,0.6875,0.585773910522461,0.0,0.4,6000,2000,2000,12,2,0.25
cube_nm_final,9,myopic_q,5,0.7635,0.4669349670410156,0.0,0.4805,6000,2000,2000,12,2,0.25
cube_nm_final,9,learned_briga,5,0.8145,0.39704064178466797,0.0,0.4764,6000,2000,2000,12,2,0.25
cube_nm_final,9,context_first,5,0.917,0.24049507522583008,1.0,0.7997,6000,2000,2000,12,2,0.25
cube_nm_final,9,regime_oracle,5,0.898,0.3774396820068359,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,9,random,8,0.7618500000000001,0.48083623046875,0.07990000024437904,0.41663125,6000,2000,2000,12,2,0.25
cube_nm_final,9,global_mi,8,0.7205,0.5339615783691406,0.0,0.4378125,6000,2000,2000,12,2,0.25
cube_nm_final,9,myopic_q,8,0.878,0.29763777923583984,0.0,0.47325,6000,2000,2000,12,2,0.25
cube_nm_final,9,learned_briga,8,0.896,0.2636058120727539,0.0,0.510875,6000,2000,2000,12,2,0.25
cube_nm_final,9,context_first,8,0.935,0.22195966720581053,1.0,0.6249375,6000,2000,2000,12,2,0.25
cube_nm_final,9,regime_oracle,8,0.935,0.2220872001647949,0.0,0.625,6000,2000,2000,12,2,0.25
