policy,budget,feature_index,pixel_index,pixel_row,pixel_col,selected_count,selection_frequency,mean_acquisition_rank_if_selected,frequency_rank
learned_briga,4,4,202,7,6,411,0.0411,4.0,9
learned_briga,4,5,246,8,22,76,0.0076,4.0,11
learned_briga,4,6,248,8,24,10000,1.0,1.0,1
learned_briga,4,7,341,12,5,26,0.0026,3.423076923076923,12
learned_briga,4,8,343,12,7,373,0.0373,2.0,10
learned_briga,4,9,362,12,26,0,0.0,,14
learned_briga,4,10,406,14,14,0,0.0,,15
learned_briga,4,11,434,15,14,0,0.0,,16
learned_briga,4,12,454,16,6,8782,0.8782,2.222272830790253,2
learned_briga,4,13,490,17,14,0,0.0,,17
learned_briga,4,14,546,19,14,0,0.0,,18
learned_briga,4,15,574,20,14,1845,0.1845,2.164769647696477,6
learned_briga,4,16,580,20,20,0,0.0,,19
learned_briga,4,17,602,21,14,0,0.0,,20
learned_briga,4,18,742,26,14,658,0.0658,3.3677811550151975,7
learned_briga,4,19,770,27,14,3856,0.3856,3.0,5
global_mi,8,0,10,0,10,0,0.0,,9
global_mi,8,1,38,1,10,10000,1.0,3.0,1
global_mi,8,2,121,4,9,10000,1.0,1.0,2
global_mi,8,3,146,5,6,10000,1.0,6.0,3
global_mi,8,4,202,7,6,10000,1.0,2.0,4
global_mi,8,5,246,8,22,0,0.0,,10
global_mi,8,6,248,8,24,0,0.0,,11
global_mi,8,7,341,12,5,10000,1.0,5.0,5
global_mi,8,8,343,12,7,10000,1.0,4.0,6
global_mi,8,9,362,12,26,0,0.0,,12
global_mi,8,10,406,14,14,0,0.0,,13
global_mi,8,11,434,15,14,0,0.0,,14
global_mi,8,12,454,16,6,10000,1.0,7.0,7
global_mi,8,13,490,17,14,0,0.0,,15
global_mi,8,14,546,19,14,0,0.0,,16
global_mi,8,15,574,20,14,0,0.0,,17
global_mi,8,16,580,20,20,0,0.0,,18
global_mi,8,17,602,21,14,0,0.0,,19
global_mi,8,18,742,26,14,10000,1.0,8.0,8
global_mi,8,19,770,27,14,0,0.0,,20
myopic_q,8,0,10,0,10,6074,0.6074,5.857589726703984,8
myopic_q,8,1,38,1,10,6621,0.6621,4.845038513819665,6
myopic_q,8,2,121,4,9,10000,1.0,1.0,1
myopic_q,8,3,146,5,6,7010,0.701,5.53095577746077,5
myopic_q,8,4,202,7,6,8537,0.8537,2.2995197376127443,3
myopic_q,8,5,246,8,22,937,0.0937,6.657417289220918,13
myopic_q,8,6,248,8,24,5627,0.5627,5.518215745512706,9
myopic_q,8,7,341,12,5,8141,0.8141,4.28706547107235,4
myopic_q,8,8,343,12,7,6140,0.614,3.8469055374592833,7
myopic_q,8,9,362,12,26,9620,0.962,6.138981288981289,2
myopic_q,8,10,406,14,14,24,0.0024,7.5,18
myopic_q,8,11,434,15,14,0,0.0,,20
myopic_q,8,12,454,16,6,3380,0.338,5.6621301775147925,11
myopic_q,8,13,490,17,14,374,0.0374,7.7005347593582885,16
myopic_q,8,14,546,19,14,755,0.0755,7.529801324503311,14
myopic_q,8,15,574,20,14,4612,0.4612,5.717042497831743,10
myopic_q,8,16,580,20,20,731,0.0731,6.411764705882353,15
myopic_q,8,17,602,21,14,25,0.0025,8.0,17
myopic_q,8,18,742,26,14,1380,0.138,7.1326086956521735,12
myopic_q,8,19,770,27,14,12,0.0012,7.666666666666667,19
learned_briga,8,0,10,0,10,504,0.0504,3.388888888888889,16
learned_briga,8,1,38,1,10,9697,0.9697,3.3917706507167167,3
learned_briga,8,2,121,4,9,7950,0.795,7.692578616352201,4
learned_briga,8,3,146,5,6,2571,0.2571,7.32633216647219,12
learned_briga,8,4,202,7,6,6089,0.6089,4.185252093939892,6
learned_briga,8,5,246,8,22,1316,0.1316,6.387537993920972,15
learned_briga,8,6,248,8,24,4518,0.4518,5.818061088977424,8
learned_briga,8,7,341,12,5,4662,0.4662,6.3365508365508365,7
learned_briga,8,8,343,12,7,6115,0.6115,6.053147996729354,5
learned_briga,8,9,362,12,26,10000,1.0,1.0,1
learned_briga,8,10,406,14,14,69,0.0069,5.0,19
learned_briga,8,11,434,15,14,308,0.0308,6.146103896103896,17
learned_briga,8,12,454,16,6,10000,1.0,2.0,2
learned_briga,8,13,490,17,14,2418,0.2418,4.0,13
learned_briga,8,14,546,19,14,217,0.0217,3.064516129032258,18
learned_briga,8,15,574,20,14,3255,0.3255,5.0789554531490015,11
learned_briga,8,16,580,20,20,4320,0.432,5.961574074074074,9
learned_briga,8,17,602,21,14,3,0.0003,7.0,20
learned_briga,8,18,742,26,14,4002,0.4002,4.971014492753623,10
learned_briga,8,19,770,27,14,1986,0.1986,7.0,14
