dataset,seed,policy,budget,accuracy,cross_entropy,predictor_val_acc_random_masks,predictor_val_loss_random_masks,n_train,n_val,n_test,n_features,n_classes
fashion_mnist_selected,3,myopic_q,8,0.6019,1.12972158203125,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,8,0.6268,1.063882568359375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,12,0.65012,0.9852589709472656,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,12,0.6363,0.9676494995117187,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,12,0.6561,0.9372572387695312,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,12,0.666,0.9221091430664062,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,16,0.69245,0.8834268322753906,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,16,0.6707,0.9030179077148438,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,16,0.7036,0.8543341918945313,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,16,0.7066,0.8334720092773438,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,20,0.7164,0.8335452148437501,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,5,empty_mask,0,0.1,2.3156796875,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,full_features,20,0.7258,0.82096650390625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,1,0.18464,2.0862962207031246,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,1,0.1822,1.94369755859375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,1,0.1822,1.94369755859375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,1,0.1822,1.94369755859375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,2,0.27203,1.8906838427734372,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,2,0.2847,1.7475383544921874,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,2,0.3249,1.72217578125,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,2,0.3091,1.6860104736328123,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,4,0.4205,1.576216884765625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,4,0.3956,1.4792046630859377,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,4,0.3789,1.48971708984375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,4,0.5031,1.3771400390625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,8,0.58045,1.1752104052734371,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,8,0.5649,1.137906201171875,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,8,0.5852,1.0999393310546874,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,8,0.6193,1.0970038696289062,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,12,0.6551799999999999,0.9737540014648438,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,12,0.6611,0.9514159423828124,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,12,0.6595,0.9273646118164064,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,12,0.6665,0.9148686401367188,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,16,0.69761,0.8715685400390626,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,16,0.696,0.8673962280273437,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,16,0.7033,0.8587853759765625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,16,0.7042,0.8452683349609375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,20,0.7257999999999999,0.8209665039062501,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,20,0.7258,0.82096650390625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,20,0.7258,0.82096650390625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,20,0.7258,0.82096650390625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,7,empty_mask,0,0.1,2.3271826171875,0.5751,1.1875017333984377,50000,10000,10000,20,10
fashion_mnist_selected,7,full_features,20,0.7205,0.8314112915039062,0.5751,1.1875017333984377,50000,10000,10000,20,10
