dataset,seed,policy,budget,accuracy,cross_entropy,predictor_val_acc_random_masks,predictor_val_loss_random_masks,n_train,n_val,n_test,n_features,n_classes,max_samples
miniboone,3,learned_briga,8,0.8375,0.3961110432942708,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,random,16,0.7881833333333333,0.45774678878784175,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,global_mi,16,0.8461666666666666,0.3591922302246094,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,myopic_q,16,0.8423333333333334,0.3691354522705078,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,learned_briga,16,0.8545,0.35827585093180336,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,5,empty_mask,0,0.7193333333333334,0.5935831451416016,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,full_features,50,0.8678333333333333,0.30761396026611326,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,random,1,0.72325,0.5852322397867838,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,global_mi,1,0.7158333333333333,0.6004964090983073,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,myopic_q,1,0.8091666666666667,0.4592836608886719,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,learned_briga,1,0.8091666666666667,0.4592836608886719,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,random,2,0.72725,0.57527921778361,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,global_mi,2,0.7158333333333333,0.5898737131754558,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,myopic_q,2,0.8175,0.4489104080200195,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,learned_briga,2,0.8156666666666667,0.4401766967773437,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,random,4,0.7384333333333333,0.554268278757731,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,global_mi,4,0.8173333333333334,0.4239880701700846,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,myopic_q,4,0.8156666666666667,0.42819235229492186,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,learned_briga,4,0.8121666666666667,0.42639036051432294,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,random,8,0.75645,0.5173553098042807,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,global_mi,8,0.8536666666666667,0.3663638737996419,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,myopic_q,8,0.8221666666666667,0.4071772740681966,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,learned_briga,8,0.8575,0.35834092712402343,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,random,16,0.79415,0.45203036524454754,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,global_mi,16,0.8511666666666666,0.3440775095621745,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,myopic_q,16,0.8381666666666666,0.37423853810628255,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
miniboone,5,learned_briga,16,0.85,0.351995485941569,0.8131666666666667,0.41752674357096353,18000,6000,6000,50,2,30000
